"class","checkpoint","method","rank","iters","avg_mae","valid","avg_seconds","median_seconds","trainable_params","cuda_peak_memory_mb","source"
"lamp","100","lora","8","25","0.01786610406294395","213","0.2874234020518699","0.27622362796682864","61696","130.35107421875","external_artifacts/server_snapshots/30446/official_ttt_ckpt100_queue/reports/lamp_code256_e100_paper_metrics/lamp_paper_metrics_summary.json"
"lamp","100","lora","8","50","0.012098521308999665","213","0.6594772744107283","0.6975823160028085","61696","130.35107421875","external_artifacts/server_snapshots/30446/official_ttt_ckpt100_queue/reports/lamp_code256_e100_paper_metrics/lamp_paper_metrics_summary.json"
"lamp","100","lora","4","100","0.008805376170377986","213","1.241730479921975","1.2845312079880387","30976","129.38232421875","external_artifacts/server_snapshots/30446/official_ttt_ckpt100_queue/reports/lamp_code256_e100_paper_metrics/lamp_paper_metrics_summary.json"
"lamp","100","lora","8","100","0.008638209011842948","213","1.315650395400267","1.3720160470111296","61696","130.35107421875","external_artifacts/server_snapshots/30446/official_ttt_ckpt100_queue/reports/lamp_code256_e100_paper_metrics/lamp_paper_metrics_summary.json"
"lamp","100","lora","16","100","0.008701136289820286","213","1.2970582936019222","1.36583086499013","123136","132.28857421875","external_artifacts/server_snapshots/30446/official_ttt_ckpt100_queue/reports/lamp_code256_e100_paper_metrics/lamp_paper_metrics_summary.json"
"lamp","100","lora","8","200","0.0066071390873914315","213","2.3500776545471456","2.45773931092117","61696","130.35107421875","external_artifacts/server_snapshots/30446/official_ttt_ckpt100_queue/reports/lamp_code256_e100_paper_metrics/lamp_paper_metrics_summary.json"
"airplane","200","residual","","200","0.005523597488686312","456","0.7771685847506058","0.7366030025295913","1505","116.81103515625","external_artifacts/server_snapshots/30622/official_ttt_ckpt100_queue/experiments/airplane_code256_e100/EvaluationTTT/200/test_ttt_adapter_sdf_mae.json"
"airplane","200","lora","8","100","0.0036003994127416887","456","0.772178078381745","0.753834668546915","61696","131.31591796875","external_artifacts/server_snapshots/30622/official_ttt_ckpt100_queue/experiments/airplane_code256_e100/EvaluationTTT/200/test_ttt_lora_sdf_mae.json"
"airplane","200","lora-fa","8","100","0.004430007679171436","456","0.6433071896133601","0.6261647740611807","30952","122.85986328125","external_artifacts/server_snapshots/30622/official_ttt_ckpt100_queue/experiments/airplane_code256_e100/EvaluationTTT/200/test_ttt_lora_fa_sdf_mae.json"
"chair","100","lora","8","100","0.005871496965622869","832","0.7425419807847132","0.7047409065417014","61696","132.9267578125","external_artifacts/server_snapshots/30622/river_two_classes/experiments/chair_classic_e500/EvaluationTTTPaper/100/test_ttt_lora_r8_i100_efficiency_sdf_mae.json"
